id,followers_count,following_count,statuses_count,verified,label
u32699434,3987,4506,4128,0,0
u2197224919,0,97,8,0,1
u4218360677,393,1477,976,0,0
u1479824001207783432,1,84,1,0,0
u86091264,14794,988,12861,0,0
u38669987,563,713,1378,0,1
u92922681,2717,1356,8494,0,0
u1285628066346274817,39239,319,407,0,0
u811408471652347904,340,465,134,0,0
u296153200,14,25,29,0,0
u28136504,14788,11668,29788,0,0
u1189972333772955650,3079,563,39555,0,0
u826929286380658688,291,27,12,0,1
u1375867030755287042,0,11,0,0,0
u117406291,207,243,1082,0,0
u781673283829788672,178,1350,534,0,0
u305236970,53358,998,28446,1,0
u36876992,820,1588,2222,0,0
u14694914,172,849,348,0,0
u2182641,1111532,340,8527,1,0
u3110562573,16,492,243,0,1
u1231601392139329536,77420,2,780,0,0
u114820052,519,3303,4073,0,0
u2999992556,17015,9279,8664,0,0
u114820838,725,195,809,0,0
u50343115,18880,931,1155,0,0
u3054361064,1113,3144,2887,0,0
u158065720,37998,5116,27406,1,0
u1256624907305103360,23,55,32,0,1
u1435411515230785540,121,447,28,0,0
u901231978766376961,85,156,35,0,0
u1232773000627396608,443,510,208,0,0
u1478744084500078593,4,179,0,0,1
u43194755,62712,1800,13874,1,0
u1372879289050308610,30645,41,908,0,1
u1468930296812871682,0,1,0,0,1
u1130741271478378496,207955,43,22,0,1
u1484168083392634890,0,29,0,0,0
u633907829,25,47,3,0,0
u8724862,254182,1179,27386,1,0
u285685293,52,210,3414,0,0
u2793278536,2045,29,6,0,0
u1484422589762387968,1,15,0,0,0
u1442379663452504064,0,90,11,0,0
u1052261717835751425,7,178,48,0,0
u3393521,308185,703,2214,1,0
u1480131215382433792,19,118,0,0,0
u75338122,254,695,659,0,0
u1215256234682650625,544,4964,4,0,0
u370112958,527,790,6054,0,0
u1055100119270522880,127,104,2030,0,0
u2427885031,26779,3817,6933,1,0
u2237311590,2305,2291,49947,0,0
u2266573932,26623,22818,4452,0,0
u1283463794837135360,90,89,82,0,0
u1030044999180853248,2,16,35,0,0
u1482603102545285120,0,14,0,0,0
u1371483467003785222,458,501,8839,0,0
u1320832772848627714,3,76,5,0,0
u1226185906652155906,102,378,52,0,1
u18898143,83693,4658,69789,0,0
u239060144,56465,42803,164475,0,0
u400630125,23940,286,71601,0,0
u456274497,758,730,17544,0,0
u1015681547415031808,1227,1386,1753,0,0
u1086612410478268416,48,174,19,0,0
u1070942382986801153,68,96,22,0,1
u199369366,439,174,473,0,0
u837867651078610944,22,313,18,0,0
u57398614,188745,185225,156094,1,0
u233160369,464,150,33,0,0
u940578188979253248,97,119,135,0,0
u1243354663933493249,14,761,30,0,0
u781982295863484456,22852,295,4896,0,1
u927837253,8334,215,4477,0,0
u1356705529528283136,22304,679,3744,0,0
u124745749,201,526,557,0,0
u1044979644183838720,1386,3346,1986,0,0
u958405675998162944,17,140,4,0,0
u1484498142825431040,0,2,0,0,0
u1484243495283879936,0,140,0,0,0
u913284448686301184,47,212,139,0,0
u59001491,129817,673,72315,1,0
u907577359498338304,27,190,69,0,1
u180038665,213,279,211,0,0
u15143478,2962490,365,32242,1,0
u811874704772501504,975,734,307,0,0
u25427470,16724,158,11483,1,0
u913302048564637696,139541,925,3936,0,1
u499161087,146,255,1033,0,1
u48979419,217,713,4632,0,0
u745294695220158464,83,162,38,0,0
u23886144,4547,1904,5306,0,0
u2457027740,1685,377,4255,0,0
u22385548,31310,402,1512,0,0
u1273759306039558145,137428,352,6611,0,0
u1427838620170285058,9,193,195,0,0
u21846833,1301,1801,4843,0,0
u1231773058899140610,183,944,82,0,0
u582280139,46401,1907,70408,1,0
u2522772534,287,314,2410,0,0
u1471529355851575305,1,110,11,0,1
u20441583,53,198,728,0,0
u449462207,3474,1382,2408,1,0
u1350705206061744128,412,1277,2846,0,0
u1449450582771699714,43,69,2,0,1
u1584137959,3296,1735,43119,0,0
u593658151,8104,8843,365,0,1
u1272211725362753537,8830,7660,17499,0,1
u1338939176356556800,798,748,1135,0,1
u69253605,27873,1146,256675,0,0
u171960289,12745,71,4,0,0
u1416005642570059783,36,335,24,0,0
u1291758490436812800,1,105,1,0,1
u1483915722459951110,0,5,0,0,1
u108472167,427,4999,48047,0,0
u156611885,2209,1125,8113,0,0
u212256256,19,361,7,0,0
u17847135,1850,142,4348,0,0
u1482202453395263488,3,148,1,0,1
u15231287,417353,49220,30144,1,0
u2654306088,2810,546,44743,0,0
u1126720880225075200,5,60,0,0,0
u1417952426687086593,3,274,0,0,1
u1394608272498364421,0,6,0,0,0
u1162412783771803649,134,1077,230,0,0
u1380190106208890884,780,1075,556,0,0
u1304578188614545409,308,353,141,0,0
u80179442,1813,3164,9830,0,0
u1340683845935509504,125,111,346,0,1
u1254467707992510468,0,136,3,0,1
u1375112149157216258,39,1418,1,0,1
u1271447460,204,613,861,0,0
u1240338965674233857,231378,43275,199760,0,1
u1440863493062725635,165,786,32,0,0
u853411771184500737,1297,1682,430,0,1
u2308978435,42,240,2414,0,1
u1453181291797622788,2,42,30,0,0
u90807518,3,7,1,0,0
u767892066,16397,538,9151,1,0
u1397114203601657857,2094,2,109,0,0
u2383249662,39,208,1,0,0
u2656629811,20,104,4,0,0
u2173318130,47,479,5,0,0
u88403351,26220,6997,17607,1,0
u765284398187089920,0,849,2,0,0
u184167912,849,291,5476,0,0
u985020698,1506,1247,9522,0,0
u109589477,9615,4852,9170,1,0
u1402708270192730119,24,140,52,0,0
u15255245,1190,915,3856,0,0
u111724165,7188,7459,20068,0,0
u546427546,4176,108,965,0,0
u1195053067806429184,1,16,0,0,0
u53017384,53360,51169,95906,0,0
u1004046048980013057,2,128,10,0,0
u54034504,754,1503,3109,0,0
u3397663229,96,10,9,0,0
u1448037218174443523,18504,66,106,0,0
u178734121,348,93,7262,0,0
u1371838131981447169,833,1309,169,0,0
u2509381254,4114,119,721,0,0
u2571330897,1868,793,53249,0,0
u1145412069866364928,1480,2110,1319,0,0
u14986849,18409,89,976,0,0
u2272426664,68,978,4,0,0
u36258301,3849,750,3690,0,0
u209472553,7377,164,7758,0,0
u1420688128986128384,16,153,5,0,0
u1431258714917462019,3,132,0,0,1
u1480543395558744069,1,2,1,0,0
u235751756,541,635,362,0,0
u18759465,1031530,8370,65174,1,0
u1034272792676421632,1852,4997,68207,0,1
u4688688218,1085,197,1073,0,0
u140658895,5,82,240,0,1
u789891110,22,211,22,0,1
u1426751719896141825,3,22,0,0,0
u613173206,5560,2586,9245,0,0
u107196001,710,1997,2913,0,0
u1213756290679238656,23560,9115,33482,0,0
u1051795722,596261,66668,42408,1,0
u2547648448,315,152,90,0,0
u907955678769065984,1668,3125,249,0,0
u2541047887,11276,9193,51879,0,0
u559867489,180,342,179,0,1
u1031846051710418945,411,1473,1135,0,1
u2974453288,675,141,2220,0,0
u175743717,807452,561200,13311,0,0
u862157084795650048,0,860,13,0,0
u715841701005406208,745,589,16495,0,0
u161913667,21060,2707,30885,1,0
u1464604007968776195,106,5943,0,0,1
u794801,7089,5298,46189,0,0
u20571756,2728454,266,1439,1,0
u856558342466097157,26,282,2,0,1
u1457945244700315650,13,194,260,0,1
u753165526566899713,10079,441,2178,1,0
u1400724735005233152,2690,3174,9410,0,1
u342181234,58894,2602,14323,1,0
u1118067018035449856,3,19,1,0,1
u1227967807838662661,2084,3684,379,0,0
u1014795261598547968,0,2,0,0,0
u6958,3722,4661,25833,0,0
u1727522635,1139253,7,6531,0,0
u743696568939753475,6589,743,4735,0,0
u1041440667313078274,587,205,693,0,1
u1058105899607252992,351,80,19,0,0
u48511236,82602,2719,35736,1,0
u2525007530,722,4999,486,0,0
u1374244618288644096,2,80,0,0,0
u153518470,342,345,2986,0,0
u2188101931,443,1805,729,0,0
u1184578525455622150,73,198,194,0,0
u1401060252720590854,1685,1771,33,0,0
u716361791471636480,127,271,767,0,0
u1360038191693201408,43,202,31991,0,0
u706222992343302146,0,182,49,0,0
u56035283,2525,3616,5904,0,0
u44196397,71093074,107,16648,1,0
u47122016,3177,3163,13414,0,0
u1208175773091270656,2,227,0,0,1
u469609215,2730,1694,6190,0,0
u1446520682154692611,3,61,4,0,0
u823727432,84,139,26,0,0
u1446132329114587143,11983,11,63,0,0
u384126992,1026,1076,33554,0,0
u1318847094778589185,20,1641,17,0,0
u108977933,86356,106,50955,1,0
u1383617758508720130,196,762,304,0,1
u104083325,30,133,54,0,0
u956840962713575424,25060,1267,1947,1,0
u68071228,320,2,6,0,0
u2926600152,5,20,33,0,0
u1040432540,15113,1394,14352,0,0
u713855504393617408,3352,711,2616,0,0
u1483378056639258625,1,6,0,0,0
u831279121,30,303,300,0,1
u1011559160540876800,952,91,1170,0,1
u83855918,1455267,426,3763,1,0
u340209989,498,451,14535,0,0
u25660512,1410,1647,2522,0,0
u4347594973,0,1,0,0,1
u2381064942,2610,1187,245,0,0
u759129401032253440,179,2001,242,0,0
u783214,60733205,12,14958,1,0
u988405184421343232,3515,2,94,0,0
u45312366,490,819,415,0,0
u1482049983293628419,17,294,0,0,1
u1425659473838764034,1,8,7,0,1
u1143024633114845185,390,1154,1206,0,0
u115926128,2497,4403,3169,0,0
u2294775613,6494,6902,105007,0,0
u88667624,309,541,2040,0,0
u1484167143990120456,1,26,0,0,0
u145169990,438,466,14210,0,1
u148465548,1644,385,3301,0,0
u1304728654707122176,2009,1705,4304,0,0
u500133474,5075,2164,7567,0,1
u148390293,4726,1081,13912,0,0
u834088100,539,237,392,0,0
u1450026965654597636,2,7,5,0,0
u1387744160757686272,215,983,129,0,1
u1475499982652387328,4,204,61,0,0
u2667389023,829,555,1373,0,0
u14408924,10571,820,391,0,0
u1193983696627544065,70747,278,1176,1,0
u340445091,5586,4189,20715,0,0
u911514942335012864,49,739,4,0,0
u1477709177346736142,128,693,205,0,0
u1252117386,5714,5923,49935,0,1
u132830623,4650,4244,18830,0,0
u1315387944505499649,0,237,0,0,1
u830925823322554368,836,581,941,0,0
u2188668342,54,357,3041,0,0
u250188760,527682,621,11966,1,0
u48008611,2708,1991,4717,0,1
u755857771,1399,551,175,0,0
u467436398,49,365,42,0,0
u9629072,634,810,12651,0,0
u381149705,90310,2215,19709,1,0
u307629377,455,3192,3176,0,0
u1406803702950866945,658,2399,1802,0,0
u1408590178759806978,7,51,23,0,1
u823669734,1762,989,1035,0,0
u22016237,405,1084,5059,0,0
u1309931012961570816,134,153,19,0,0
u745005274784751616,118,229,29,0,0
u1030921417485942784,223,593,1631,0,0
u31646705,45,0,16,0,0
u2431499616,1071,528,3682,1,0
u822845135293714433,1439,2533,153815,0,0
u16303106,19294198,51,6975,1,0
u822426735136350208,470,325,676,0,1
u1165908251604422656,101,2527,41,0,0
u1210956763618394113,77,168,205,0,1
u2232848496,3562,333,2290,0,0
u1871389603,23,562,255,0,1
u1400945465634529288,281,1457,84,0,0
u247943231,113,195,150,0,1
u2414012077,32010,17475,27767,0,0
u1081252025915068417,23,32,778,0,1
u985221540,257,29,164,0,0
u1166752450537295873,232,121,236,0,0
u1358413329148964866,7,230,198,0,0
u3697013177,46482,1629,8712,1,0
u1484479227776757760,0,1,0,0,0
u858114187893116929,387,1329,142,0,0
u1483141847279194114,0,26,0,0,0
u1275057614053756929,29,49,7,0,0
u1185613800839503873,820,167,513,0,0
u983580450902818817,226,254,615,0,0
u72448544,28,190,29,0,1
u997994342949236736,1414,1414,3911,0,0
u17659206,3361976,845,176274,1,0
u503257759,1495,2396,6984,0,0
u2723217086,11786,10404,52929,0,0
u1145016098628259845,18,94,22,0,1
u1130810826636398592,1021,1680,1592,0,0
u3336693958,1681,4932,31063,0,0
u595982444,3280,1805,60918,0,0
u1484455523881820160,1,24,2,0,0
u52138061,127,1494,106,0,0
u1428750783403679758,6,45,28,0,0
u1374429846915272718,0,31,0,0,1
u28052098,144,810,1143,0,1
u95329049,2534,1803,1115,0,0
u89405591,5194,2048,3994,0,0
u1355298392,24,446,71,0,1
u859969123102539777,1834,1996,10682,0,0
u1196118763415846912,68,208,157,0,0
u936331435614593024,238,355,808,0,1
u130709088,2158,711,38444,0,0
u1359333804196777985,0,618,0,0,1
u1069621025493737473,39,180,20,0,0
u2972626393,25,1140,665,0,0
u381289719,810409,1251,36207,1,0
u862942140455931904,87,288,50,0,0
u27193112,34396,6392,16708,0,0
u1046250662,633,1913,1649,0,0
u2886337191,1800,402,26295,1,0
u25864331,12365,2123,8120,0,0
u512629559,272,834,4359,0,0
u94825605,6762,253,5925,0,0
u3233891354,18532,12726,33716,1,0
u3424848581,169,2874,5184,0,0
u216563156,13,52,2,0,1
u984232946596016128,1391,4971,7,0,0
u942151496,1462,1462,9126,0,0
u1151125240711450624,123,261,70,0,0
u159968349,3455,9064,1359,0,0
u902120672,3,439,9,0,1
u3033869396,327,492,23942,0,0
u1319516983231090689,752,4917,104,0,1
u1079534090607570944,2,15,4,0,0
u1029338221459714048,1341,3282,4143,0,0
u1107416014118178816,2089,1167,4260,0,0
u1251830063252885504,1,124,3,0,0
u793288660040896512,1811,156,102,0,0
u728709530,27150,1314,17017,0,0
u60480351,2567,1253,3890,0,0
u1222995432407805959,187,205,487,0,0
u1395364264005734403,1,78,0,0,0
u909041406488072193,287,220,4157,0,0
u258847118,150903,1336,13517,1,0
u1923392131,1220,3500,26307,0,0
u1143269463648636929,2624,11,53,0,0
u25941665,12266,2251,42328,0,0
u1073408346387034112,717,3852,328,0,0
u2248919588,25,382,784,0,0
u287156977,1264823,387,42824,1,0
u999678952766517248,1510,1801,443,0,0
u224630721,464340,154,1199,1,0
u1689323390,446,595,986,0,0
u1349462947559567361,5,74,0,0,1
u979347726151364608,7574,7719,12836,0,0
u914863145906262017,59,162,6,0,1
u1484076794114359296,2,56,0,0,0
u1203900527068749824,107,2119,45,0,0
u1469148562181210112,1,57,2,0,0
u1182702701920112644,458,2768,137,0,1
u99665921,118025,20367,59931,0,0
u1341711996287242240,48,144,150,0,0
u58766476,156728,1319,57110,1,0
u3185512585,201,623,22,0,0
u2231218735,7,140,12,0,0
u235072498,2109,721,3691,0,0
u1377774709606080517,0,51,0,0,0
u1451492010,12,219,125,0,0
u16055364,3522,2189,4758,0,0
u2295951641,200,182,25,0,0
u747212842470891520,5899,567,1367,0,0
u625732003,3515,993,55568,1,0
u305451631,25,99,17,0,0
u51087584,461,365,0,0,0
u1379221918008672258,1956,2563,561,0,0
u1389365682169647105,31,158,727,0,0
u1365388369,4005,1761,6480,1,0
u1325664070695940097,1450,3119,1569,0,0
u540599583,40,99,26,0,0
u412748397,536,2100,497,0,1
u1094043126279401472,1489,1497,478,0,0
u18837791,151512,428,29423,1,0
u1855035115,26,82,7,0,0
u548264245,442,651,2025,0,0
u1385578190333218816,445,508,2314,0,0
u37148105,60,456,742,0,1
u129842597,231783,958,16787,1,0
u37563,7021,3987,22053,0,0
u1484194986505629700,1,106,0,0,0
u57284479,250,116,47,0,0
u2578332385,2990,2262,3701,0,0
u63815425,59,141,1995,0,1
u624483823,776,277,5493,0,0
u121255864,686,602,7593,0,0
u90556897,3041293,54,2116,1,0
u474154291,419273,1441,16618,1,0
u1048648559728496649,15931,13268,647876,0,0
u1478111459389415429,15,447,64,0,1
u25074746,145631,4879,89612,0,0
u1308443434269708288,659,182,275,0,1
u4767381941,151,95,110,0,1
u1299773222800576513,61,233,280,0,0
u47128513,3185,888,19925,0,0
u739133515170729984,55307,62,9595,0,1
u989521438825746433,70275,91,201,1,0
u1443226538699202560,42,408,21,0,0
u1330060442887204865,7,42,0,0,0
u62646214,966,2015,7305,0,0
u1467161069772759040,118,502,2,0,0
u1442604046590767113,283,640,90,0,0
u36743910,1059887,197,3393,1,0
u14274428,446066,13667,31907,1,0
u236713236,307,1694,463,0,0
u747497269302198272,3,43,2,0,1
u988639538850533377,97,623,2882,0,0
u27048570,778,1580,2824,0,0
u272936200,34174,1948,10331,0,0
u1201085589640089600,8228,4257,1248,0,0
u886832413,833023,64,3473,1,0
u1480125586282627075,0,6,0,0,0
u1484472638395273218,1,9,0,0,0
u353959801,3511853,93,178041,1,0
u1334794299372953602,3009,3329,2133,0,0
u1441028305545695234,742,809,2316,0,0
u893897602575384576,7,324,5,0,0
u788387429069627393,7948,1250,769,0,0
u16156286,97,600,984,0,0
u3024767848,5182,5372,13602,0,0
u1056717649,5210,30,2427,0,0
u837059666,321,192,5982,0,0
u47472893,2142,1285,7714,0,0
u43969769,235,686,192,0,0
u14661906,1557,2142,1982,0,0
u874592708093816833,88,5002,170,0,0
u751068588686110720,2680,224,1363,0,0
u25178222,25717,2237,294810,1,0
u468450751,290,117,112,0,0
u4871724407,296,448,407,0,0
u243036743,5445,339,842,1,0
u28023330,4223529,555,182001,1,0
u359537777,224,235,3495,0,0
u1418237857303564291,228,432,9,0,0
u586933624,1819,1551,29790,0,0
u1482604891122151424,0,80,0,0,0
u233644448,281,1185,80,0,0
u1364766717839372289,1,88,2,0,0
u3285328814,2098,1749,3008,0,0
u1306263380689379335,58,103,48,0,0
u1336257586786603010,349,352,291,0,0
u439418320,739,184,1186,0,0
u37238862,94936,8936,66021,0,0
u2220551504,12,354,1495,0,0
u317882292,384,18,30,0,0
u1478246138,531,2218,527,0,0
u3160713703,3879,4424,769,0,0
u916241183399075840,12,134,0,0,1
u1484142330273832968,1,37,0,0,0
u95082530,76,192,176,0,0
u1483648318546845700,0,17,0,0,1
u2595621066,60,511,590,0,0
u747469350714519552,626,4616,1338,0,1
u116219009,176,594,1592,0,0
u1324565856840413184,774,941,460,0,0
u36684314,33100,144,13139,0,0
u583233410,100187,1728,12092,1,0
u289451089,1555,1736,7301,0,0
u963884836162342913,944,1098,1117,0,0
u1060953957248290821,6421,71,197,0,1
u1463354832,7841,258,257,0,0
u1308187181941288960,2039,1390,19107,0,0
u1484169471661064196,0,11,0,0,0
u431652048,1241,1358,1020,0,0
u1467542108886163463,0,40,0,0,1
u1208011613057540097,977,379,321,0,0
u1166699552050745344,0,47,0,0,0
u47967527,18205,502,5018,0,0
u14238165,4279,1753,822,1,0
u321990952,569,439,32013,0,0
u1354079547709403144,643,629,305,0,0
u193214051,4,9,47,0,0
u1153063439264301058,930,504,204,0,0
u851985789072408576,134495,149,4523,0,0
u605360145,412,2152,14928,0,0
u2466645955,578358,2952,4642,1,0
u2389603556,5334,3325,10388,1,0
u26565946,63296698,331,4346,1,0
u4755391101,16,374,10,0,0
u234559391,29504,173,4703,1,0
u21114659,821360,2000,86249,1,0
u827665681,1657,1705,2166,0,0
u1031877505970515969,546,1146,502,0,0
u1146854806658703361,7,55,131,0,0
u39516928,4795,4087,3811,1,0
u17264476,105740,7218,111083,1,0
u1119675949132460036,22,343,50,0,0
u20917482,1757,775,132748,0,0
u1044937544209760257,2851,343,581,0,0
u1484268072781459460,3,54,0,0,0
u1411270185277923329,113,315,145,0,0
u53096584,121140,943,30820,0,0
u905840140052025344,2691,2940,7757,0,0
u1879595125,19,195,974,0,0
u809479999296335872,2190,2035,581,0,0
u1399423547856982021,1,36,20,0,0
u1245136726626119687,25073,24601,66176,0,0
u1475346765557628930,1,24,0,0,0
u3063535810,16,1613,0,0,0
u1265647069357838337,11,71,0,0,0
u1155077425002233857,83,120,284,0,0
u111926756,19795,9,8724,0,0
u937710988190765056,1065,976,252,0,0
u1398476909852323840,166,1036,1490,0,0
u1720046887,75228,2336,663,0,0
u194975681,115034,433,8466,1,0
u1466495391420063750,0,54,6,0,1
u417053258,6917,2843,33556,0,0
u1142314679991033857,11669,47,189,1,0
u350659169,177,230,7087,0,0
u1015608272,229,668,6097,0,0
u1159118839,20,285,15,0,0
u707881648428290048,46,73,223,0,0
u4415805073,1589,1151,5378,0,0
u1382058933846646784,3122,3125,7362,0,0
u1921119872,334,1030,157,0,0
u1152038661585698817,1557,3136,1916,0,1
u20719941,34,240,1,0,1
u1170073674,643,543,1198,0,0
u1484205354900914178,0,2,0,0,0
u1449375502779682820,6,54,3,0,0
u1447643422731522057,4,65,0,0,0
u14849633,3458,3393,6176,0,0
u2419897308,45,0,139,0,1
u254719698,79146,87069,65666,0,0
u1194759775969370112,186,353,100,0,0
u1434380504703266820,387,426,29,0,0
u1302966575310483456,25,180,300,0,0
u109471034,58,272,222,0,0
u422041712,499,840,20359,0,0
u1280598815280676866,83,915,12,0,1
u48065736,7370,330,10925,0,0
u1167159986037936129,15938,115,386,1,0
u4795670259,679,539,5610,1,0
u2603132052,191,452,204,0,1
u39992001,150,253,112,0,1
u18173452,2549,1021,8422,0,0
u1073730367327215618,17,242,142,0,0
u588930747,66,108,538,0,1
u89213111,808,1151,4839,0,0
u953369915544801283,659,1008,2699,0,0
u906818110216339456,34,53,26,0,0
u3074142448,708,112,1664,0,0
u1380584522228506625,64,208,66,0,0
u2990458168,327,621,905,0,0
u1038400095861932033,54,169,45,0,1
u75916180,5674936,16497,8467,1,0
u1163022206,2821,2998,23127,0,0
u113015471,5758,464,2176,0,0
u395507514,1656,1453,1250,0,0
u1436034283710435332,110,124,738,0,0
u1147257638096388097,46,883,144,0,0
u479583379,111,161,304,0,1
u2344530218,155262,2679,54793,0,0
u1357355775178526722,1686,2263,705,0,0
u19196403,8826,1403,78545,0,0
u1014164907431006208,998,204,45389,0,0
u159622605,4758,2,3,0,0
u1403349174893096965,24,85,2512,0,0
u3390071746,32229,31523,34237,0,0
u30354991,19196814,733,16318,1,0
u14573900,11354263,50875,146188,1,0
u35034750,1557,1765,1758,0,0
u792762680322973697,9,43,36,0,0
u1082996088246657024,129,133,18318,0,0
u359644625,537,2492,7787,0,0
u1033103646475595776,28,2257,40,0,0
u4303298356,99248,442,5303,1,0
u1398008647251333120,3,171,6,0,0
u1450740286829776898,644,898,194,0,0
u299650387,278446,648,13511,1,0
u29997510,247,240,147,0,0
u1477359217057087497,0,11,1,0,1
u1467949771260248068,136,100,22,0,0
u38430500,68083,3054,30395,0,0
u1271007323541176321,2765,3385,32759,0,0
u56253234,139,244,318,0,0
u765553881380163584,9904,2069,7534,1,0
u3331113269,37,361,171,0,0
u48518416,14087,4805,32951,0,0
u1335340578394038272,5,62,1,0,0
u2778393834,60,42,1,0,1
u3171150979,163,173,27,0,0
u1163359091747672064,12,127,333,0,0
u859021665912619008,18,62,50,0,0
u1459761977606250496,2,22,275,0,0
u1296847131941253120,2,307,21,0,0
u1187536441745821696,297,1977,96,0,0
u592777619,780,382,7924,0,0
u1125744174752587776,15,144,814,0,0
u947846606,582,1015,154,0,0
u22050529,36814,856,8325,1,0
u395135045,7979,2273,207,0,0
u2364221719,301,1770,4952,0,0
u2864379694,19,427,9,0,0
u1231267236360458243,298,484,149,0,0
u707186570525331457,1273,2587,6656,0,0
u1325574625,1960,904,2339,0,0
u1088582419320590336,2676,5001,5459,0,0
u1340196201589862400,1429,3543,108,0,0
u1068925417627795456,515,1321,2199,0,0
u61853389,780236,2633,20762,1,0
u1471035349,11524,325,19836,0,0
